sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
陽明,臺北市,39,,良好,0.6,0.17,42.2,42.7,3,0,0.6,1,0.4,4.3,360,"2024-11-21 11:00",,0.1,0.1,3,0,121.529583,25.182722,64
花蓮,花蓮縣,34,,良好,1.6,0.23,40.3,37.9,12,1,4.2,5.4,1.1,3.5,69,"2024-11-21 11:00",,0.2,1.5,13,1,121.599769,23.971306,63
臺東,臺東縣,27,,良好,1.4,0.21,39,29.2,17,2,3.8,5.7,1.8,3.1,30,"2024-11-21 11:00",,0.2,2.9,10,1,121.15045,22.755358,62
恆春,屏東縣,37,,良好,0.6,0.14,42.6,40.2,10,2,1.3,1.8,0.4,8.2,25,"2024-11-21 11:00",,0.1,3.5,9,0,120.788928,21.958069,61
潮州,屏東縣,85,細懸浮微粒,普通,2.3,0.47,56.7,17.8,69,35,8.9,10.6,1.7,1.3,290,"2024-11-21 11:00",,0.4,29.3,56,2,120.561175,22.523108,60
屏東,屏東縣,72,細懸浮微粒,普通,1,0.4,37,13.9,62,33,8.8,10.9,2.1,0.7,339,"2024-11-21 11:00",,0.3,24,54,1,120.488033,22.673081,59
小港,高雄市,78,細懸浮微粒,普通,,,28.9,8.6,,39,,,,1.2,309,"2024-11-21 11:00",,0.5,26.6,50,2,120.337736,22.565833,58
前鎮,高雄市,90,細懸浮微粒,普通,1.9,0.73,30.8,9.7,69,42,25,31.6,6.5,1.3,2,"2024-11-21 11:00",,0.5,31.2,50,1,120.30833356,22.6044507,57
前金,高雄市,79,細懸浮微粒,普通,1.8,0.49,29.7,7.8,76,40,,,,3.2,355,"2024-11-21 11:00",,0.4,26.8,60,1,120.28676111,22.63390278,56
左營,高雄市,68,細懸浮微粒,普通,,,33.1,10.4,64,31,,,,1.7,278,"2024-11-21 11:00",,0.4,22.3,50,1,120.292917,22.674861,54
楠梓,高雄市,62,細懸浮微粒,普通,1.7,0.34,24.6,8.2,55,28,16.1,24.3,8.1,1.7,36,"2024-11-21 11:00",,0.3,20.1,42,1,120.328289,22.733667,53
林園,高雄市,97,細懸浮微粒,普通,10.2,0.63,52.2,16.7,97,51,27.7,31.9,4.2,1.8,175,"2024-11-21 11:00",,0.4,34,69,3,120.41175,22.4795,52
大寮,高雄市,82,細懸浮微粒,普通,6.7,0.62,39.5,11.3,52,41,24.2,30.3,6.1,0.6,344,"2024-11-21 11:00",,0.4,27.9,37,2,120.425311,22.56413611,51
鳳山,高雄市,82,細懸浮微粒,普通,3.4,0.65,34.2,8.4,58,37,23.2,28.2,5,0.6,103,"2024-11-21 11:00",,0.6,28.2,51,2,120.357422,22.628126,50
仁武,高雄市,72,細懸浮微粒,普通,2,0.71,27.6,7.2,52,32,26.6,47.5,20.9,1.8,325,"2024-11-21 11:00",,0.5,24,43,1,120.332631,22.689056,49
橋頭,高雄市,71,細懸浮微粒,普通,2.1,0.37,31.2,10.2,54,33,16.9,22.1,5.2,2,8,"2024-11-21 11:00",,0.3,23.6,43,1,120.305689,22.757506,48
美濃,高雄市,43,,良好,1.8,0.3,30.7,11.5,31,16,3.7,5.4,1.6,1.4,262,"2024-11-21 11:00",,0.3,13.2,32,1,120.530542,22.883583,47
臺南,臺南市,44,,良好,1.1,0.3,29.5,17.1,33,18,12.5,16.7,4.1,3.4,353,"2024-11-21 11:00",,0.2,13.5,27,1,120.21947897,22.98928311,46
安南,臺南市,42,,良好,1.3,0.28,30.6,18.4,31,16,9.7,13.3,3.6,3.3,329,"2024-11-21 11:00",,0.2,13,28,1,120.2175,23.048197,45
善化,臺南市,51,細懸浮微粒,普通,1.4,0.23,28.2,17.5,32,19,7.9,11.1,3.1,3.7,2,"2024-11-21 11:00",,0.2,15.6,26,1,120.29740529,23.11337642,44
新營,臺南市,41,,良好,1.6,0.27,31.7,19.9,36,17,7.7,11.9,4.1,2.7,24,"2024-11-21 11:00",,0.2,12.5,26,1,120.31725,23.305633,43
嘉義,嘉義市,43,,良好,2.3,0.27,26.3,17.9,27,15,9.5,13.3,3.7,2.8,48,"2024-11-21 11:00",,0.2,13.3,22,3,120.44125148,23.46477865,42
臺西,雲林縣,34,,良好,0.7,0.17,41.4,37.8,33,6,3.6,4.2,0.6,10.5,25,"2024-11-21 11:00",,0.1,4.7,22,0,120.19933333,23.702175,41
朴子,嘉義縣,26,,良好,1.8,0.22,35.9,28.8,43,5,5.7,8.3,2.5,2.4,348,"2024-11-21 11:00",,0.2,4.7,24,1,120.2478,23.46538,40
新港,嘉義縣,27,,良好,1.7,0.21,38.3,29.9,25,8,6.6,8.4,1.8,3.7,20,"2024-11-21 11:00",,0.2,8.3,18,1,120.345531,23.554839,39
崙背,雲林縣,37,,良好,0.5,0.23,34.9,31.0,66,12,5.4,7.3,1.8,2.6,355,"2024-11-21 11:00",,0.2,11.5,35,1,120.348742,23.757547,38
斗六,雲林縣,33,,良好,2.3,0.26,33.9,23.5,24,15,7.3,9.9,2.6,1.8,346,"2024-11-21 11:00",,0.2,10.3,18,1,120.544994,23.711853,37
南投,南投縣,25,,良好,2.1,0.35,30,22.6,17,8,13.2,18.1,4.8,1.9,338,"2024-11-21 11:00",,0.2,7.8,14,1,120.685306,23.913,36
二林,彰化縣,27,,良好,1.3,0.2,24.9,29.5,18,5,6.3,8.6,2.3,5.3,20,"2024-11-21 11:00",,0.1,5.4,18,1,120.409653,23.925175,35
線西,彰化縣,31,,良好,1,0.18,34.5,34.3,20,5,8.3,11.3,3,7.9,30,"2024-11-21 11:00",,0.1,4.7,14,1,120.469061,24.131672,34
彰化,彰化縣,25,,良好,0.6,0.25,25.6,27.3,13,5,13.9,21.4,7.5,2.9,12,"2024-11-21 11:00",,0.2,5.8,11,0,120.541519,24.066,33
西屯,臺中市,28,,良好,1.2,0.19,31,30.9,18,2,6.9,9.5,2.6,4.6,8,"2024-11-21 11:00",,0.1,5.4,12,1,120.616917,24.162197,32
忠明,臺中市,25,,良好,1.5,0.26,26.5,27.3,16,4,11.2,17,5.8,1.9,333,"2024-11-21 11:00",,0.2,4.4,10,1,120.641092,24.151958,31
大里,臺中市,22,,良好,1,0.28,,24.6,,,10.9,15.1,4.2,3,345,"2024-11-21 11:00",,0.2,4.1,9,1,120.67844444,24.09961111,30
沙鹿,臺中市,31,,良好,1,0.19,31.3,33.6,15,5,7.2,9.2,2,5.6,92,"2024-11-21 11:00",,0.1,6.5,11,1,120.568794,24.225628,29
豐原,臺中市,25,,良好,,,28.9,27.2,3,1,,,,2.3,358,"2024-11-21 11:00",,0.1,1.3,4,1,120.74252414,24.25699731,28
三義,苗栗縣,28,,良好,0.8,0.2,27.2,30.6,4,6,8.3,10,1.7,6,16,"2024-11-21 11:00",,0.1,4.3,4,1,120.75956754,24.38248443,27
苗栗,苗栗縣,31,,良好,1.1,0.19,28.9,33.3,4,4,8.9,11,2.1,3.7,0,"2024-11-21 11:00",,0.1,4.6,4,1,120.82011468,24.56499183,26
頭份,苗栗縣,32,,良好,1,0.19,32.3,35.0,6,1,8.8,10.9,2.1,3.4,36,"2024-11-21 11:00",,0.1,3.2,7,1,120.89869286,24.69690679,25
新竹,新竹市,33,,良好,1.1,0.21,30.5,36,6,1,11.5,13,1.5,3.3,37,"2024-11-21 11:00",,0.1,2.1,7,1,120.97236752,24.8056356,24
竹東,新竹縣,35,,良好,0.5,0.15,36,38.3,4,2,4.7,6,1.2,6.3,37,"2024-11-21 11:00",,0.1,1,3,0,121.08895493,24.74091408,23
湖口,新竹縣,34,,良好,0.7,0.18,35.4,37.4,9,3,6.7,8.4,1.6,6.3,47,"2024-11-21 11:00",,0.1,3.4,7,1,121.03886894,24.90009696,22
龍潭,桃園市,31,,良好,0.7,0.22,29.7,34.6,7,3,10.9,13.2,2.3,4.4,56,"2024-11-21 11:00",,0.1,3.1,5,0,121.21645772,24.86400048,21
平鎮,桃園市,28,,良好,0.9,0.25,25.8,30.8,6,6,16.8,19.7,2.9,2.4,57,"2024-11-21 11:00",,0.2,4.1,5,0,121.203986,24.952786,20
觀音,桃園市,34,,良好,0.4,0.14,34.6,37.7,16,6,7.2,8.2,0.9,6.4,73,"2024-11-21 11:00",,0.1,6,11,0,121.08283092,25.03556747,19
大園,桃園市,33,,良好,1.1,0.2,29,36.2,8,5,17.7,22.2,4.4,5.5,44,"2024-11-21 11:00",,,5.2,11,1,121.20251473,25.06100357,18
桃園,桃園市,29,,良好,0.6,0.26,28.9,31.4,8,8,11.8,14,2.2,2.5,35,"2024-11-21 11:00",,0.2,3.6,3,0,121.30500531,24.9947107,17
大同,臺北市,30,,良好,,,,22.1,,8,,,,-,-,"2024-11-21 11:00",,0.6,9.3,11,0,121.51342074,25.06331455,16
松山,臺北市,28,,良好,0.9,0.2,24.7,30.6,8,2,16.2,20.8,4.6,1.5,23,"2024-11-21 11:00",,0.1,2.5,6,0,121.578611,25.05,15
古亭,臺北市,30,,良好,0.1,0.25,25.9,32.5,8,2,14.5,18,3.5,1.3,52,"2024-11-21 11:00",,0.2,3,4,,121.529556,25.020608,14
萬華,臺北市,28,,良好,0.6,0.26,24.3,30.3,6,3,16.8,19.9,3,2.5,101,"2024-11-21 11:00",,0.2,2.1,5,0,121.507972,25.046503,13
中山,臺北市,32,,良好,0.8,0.35,21.8,28.6,5,1,19.7,25.5,5.7,2.1,77,"2024-11-21 11:00",,0.3,2.7,4,0,121.526528,25.062361,12
士林,臺北市,36,,良好,,,,39.6,7,4,,,,1,8,"2024-11-21 11:00",,0.1,2.2,5,0,121.51666356,25.10334003,11
淡水,新北市,35,,良好,1,,35.2,38.4,5,2,,,,3.5,20,"2024-11-21 11:00",,0.1,3.1,2,0,121.449239,25.1645,10
林口,新北市,31,,良好,0.5,0.2,28.3,33.7,2,0,14,18.1,4.1,2.4,50,"2024-11-21 11:00",,0.1,0.8,3,0,121.36548982,25.07798949,9
菜寮,新北市,35,,良好,0.7,0.33,21.2,31.4,7,5,21.1,25,3.8,0.5,232,"2024-11-21 11:00",,0.3,4,4,0,121.481028,25.06895,8
新莊,新北市,30,,良好,,,,32.4,12,,,,,1.8,30,"2024-11-21 11:00",,0.2,4.7,12,0,121.4325,25.037972,7
板橋,新北市,32,,良好,0.2,0.3,26.7,35.7,4,0,17.7,21,3.2,1.4,99,"2024-11-21 11:00",,0.2,2.1,2,0,121.458667,25.012972,6
土城,新北市,32,,良好,0.8,0.25,30,35.7,7,0,12.6,14.1,1.5,1.7,149,"2024-11-21 11:00",,0.2,1,6,1,121.451861,24.982528,5
新店,新北市,29,,良好,0.3,0.22,29,31.2,8,8,10.9,12.2,1.2,1.2,91,"2024-11-21 11:00",,0.2,6.9,4,0,121.537778,24.977222,4
萬里,新北市,42,,良好,0.6,0.17,44.1,45.6,22,2,2.4,3.2,0.7,8.7,35,"2024-11-21 11:00",,0.1,4.1,20,0,121.689881,25.179667,3
汐止,新北市,33,,良好,0.2,0.17,34.2,36.8,1,5,8.4,10.2,1.7,1.2,48,"2024-11-21 11:00",,0.1,3.8,1,0,121.64081,25.06624,2
基隆,基隆市,38,,良好,0.6,0.18,40.1,41.3,5,0,3,3.8,0.7,1.5,77,"2024-11-21 11:00",,0.1,1.7,4,0,121.760056,25.129167,1
屏東(枋山),屏東縣,53,細懸浮微粒,普通,3.9,0.37,54.3,36,72,37,6.4,7.5,1.1,2.1,292,"2024-11-21 11:00",,0.2,16.3,36,0,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,33,,良好,0,0.14,37.2,36.2,4,2,4.9,5.8,0.9,1.5,56,"2024-11-21 11:00",,0.1,3.5,4,0,121.82463916,24.85366672,312
新北(樹林),新北市,33,,良好,0.3,0.22,20.7,26.0,7,5,20.2,27.6,7.3,0.1,168,"2024-11-21 11:00",,0.2,1.7,4,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,79,細懸浮微粒,普通,2.2,0.49,25,16.5,62,32,21.2,26.6,5.4,0.7,336,"2024-11-21 11:00",,0.3,26.9,56,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,36,,良好,0.8,0.22,30.2,19.3,34,11,8,11.3,3.2,2.6,359,"2024-11-21 11:00",,0.2,11.2,25,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,49,,良好,2.2,0.34,23.2,9.7,40,20,18.6,26.2,7.6,1.4,290,"2024-11-21 11:00",,0.3,15,30,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,24,,良好,1.7,0.26,31.7,26.6,16,6,9.9,13,3.1,1.9,359,"2024-11-21 11:00",,0.2,4.6,13,1,120.56373,23.96117,201
大城,彰化縣,38,,良好,0.9,0.13,43.7,41.6,20,6,,,,9.9,45,"2024-11-21 11:00",,0.1,7.6,16,0,120.26964167,23.85493056,85
富貴角,新北市,42,,良好,0,0.14,44.2,45.9,32,4,1,1,0,9.9,45,"2024-11-21 11:00",,0.1,4,23,0,121.53656894,25.29681695,84
麥寮,雲林縣,31,,良好,2.1,0.18,39.5,33.3,48,8,6.3,8.4,2,7.5,3,"2024-11-21 11:00",,0.2,8.2,25,2,120.251825,23.753506,83
關山,臺東縣,27,,良好,1.2,0.21,35.7,29.6,18,2,4.2,6.8,2.5,4.2,43,"2024-11-21 11:00",,0.1,2.9,14,0,121.161933,23.045083,80
馬公,澎湖縣,39,,良好,1.9,0.16,41.3,42.8,16,2,2.1,2.9,0.8,7.8,31,"2024-11-21 11:00",,0.1,3.9,15,1,119.566158,23.569031,78
金門,金門縣,16,,良好,1.3,0.28,16.9,17.0,8,2,7.1,9.7,2.5,1.8,92,"2024-11-21 11:00",,0.2,3,7,1,118.312256,24.432133,77
馬祖,連江縣,43,,良好,0.6,0.21,28.9,26.3,12,12,3.9,4.6,0.7,2.4,339,"2024-11-21 11:00",,0.2,13.1,18,0,119.952724,26.153736,75
埔里,南投縣,51,細懸浮微粒,普通,1.1,0.24,30.1,14.1,17,15,3.7,6.5,2.7,1.8,271,"2024-11-21 11:00",,0.2,15.7,21,1,120.967903,23.968842,72
復興,高雄市,99,細懸浮微粒,普通,1.9,0.75,31.2,9.8,70,55,27.4,32.4,5,1,281,"2024-11-21 11:00",,0.5,35.1,48,1,120.312017,22.608711,71
永和,新北市,30,,良好,0.8,0.35,27.8,32.3,7,3,13.7,18.1,4.3,1.6,83,"2024-11-21 11:00",,0.3,2.7,4,1,121.516306,25.017,70
竹山,南投縣,36,,良好,1.1,0.25,28,17.4,19,16,9.5,12.1,2.5,1.4,356,"2024-11-21 11:00",,0.2,11.1,18,1,120.677306,23.756389,69
中壢,桃園市,42,,良好,0.7,0.35,16.4,22.7,14,8,25.4,44.5,19,1.2,14,"2024-11-21 11:00",,0.3,6.4,10,0,121.221667,24.953278,68
三重,新北市,52,二氧化氮,普通,0.7,0.8,,18.5,,6,33.9,86.8,52.9,-,-,"2024-11-21 11:00",,0.7,4.6,10,0,121.493806,25.072611,67
冬山,宜蘭縣,34,,良好,0.3,0.18,35,37.1,1,1,6.6,8.5,1.8,1,346,"2024-11-21 11:00",,0.1,0.6,1,0,121.792928,24.632203,66
宜蘭,宜蘭縣,33,,良好,0.4,0.22,35.2,36.3,5,0,5.8,7.4,1.5,1,103,"2024-11-21 11:00",,0.2,2.2,3,0,121.746394,24.747917,65
陽明,臺北市,39,,良好,0.6,0.17,42.2,42.7,3,0,0.6,1,0.4,,,"2024-11-21 11:00",,0.1,0.1,3,0,121.529583,25.182722,64
花蓮,花蓮縣,34,,良好,1.6,0.23,40.3,37.9,12,1,4.2,5.4,1.1,3.5,69,"2024-11-21 11:00",,0.2,1.5,13,1,121.599769,23.971306,63
臺東,臺東縣,27,,良好,1.4,0.21,39,29.2,17,2,3.8,5.7,1.8,3.1,30,"2024-11-21 11:00",,0.2,2.9,10,1,121.15045,22.755358,62
恆春,屏東縣,37,,良好,0.6,0.14,42.6,40.2,10,2,1.3,1.8,0.4,8.2,25,"2024-11-21 11:00",,0.1,3.5,9,0,120.788928,21.958069,61
潮州,屏東縣,85,細懸浮微粒,普通,2.3,0.47,56.7,17.8,69,35,8.9,10.6,1.7,1.3,290,"2024-11-21 11:00",,0.4,29.3,56,2,120.561175,22.523108,60
屏東,屏東縣,72,細懸浮微粒,普通,1,0.4,37,13.9,62,33,8.8,10.9,2.1,0.7,339,"2024-11-21 11:00",,0.3,24,54,1,120.488033,22.673081,59
小港,高雄市,78,細懸浮微粒,普通,,,28.9,8.6,,39,,,,1.2,309,"2024-11-21 11:00",,0.5,26.6,50,2,120.337736,22.565833,58
前鎮,高雄市,90,細懸浮微粒,普通,1.9,0.73,30.8,9.7,69,42,25,31.6,6.5,1.3,2,"2024-11-21 11:00",,0.5,31.2,50,1,120.30833356,22.6044507,57
前金,高雄市,79,細懸浮微粒,普通,1.8,0.49,29.7,7.8,76,40,,,,3.2,355,"2024-11-21 11:00",,0.4,26.8,60,1,120.28676111,22.63390278,56
左營,高雄市,68,細懸浮微粒,普通,,,33.1,10.4,64,31,,,,1.7,278,"2024-11-21 11:00",,0.4,22.3,50,1,120.292917,22.674861,54
楠梓,高雄市,62,細懸浮微粒,普通,1.7,0.34,24.6,8.2,55,28,16.1,24.3,8.1,1.7,36,"2024-11-21 11:00",,0.3,20.1,42,1,120.328289,22.733667,53
林園,高雄市,97,細懸浮微粒,普通,10.2,0.63,52.2,16.7,97,51,27.7,31.9,4.2,1.8,175,"2024-11-21 11:00",,0.4,34,69,3,120.41175,22.4795,52
大寮,高雄市,82,細懸浮微粒,普通,6.7,0.62,39.5,11.3,52,41,24.2,30.3,6.1,0.6,344,"2024-11-21 11:00",,0.4,27.9,37,2,120.425311,22.56413611,51
鳳山,高雄市,82,細懸浮微粒,普通,3.4,0.65,34.2,8.4,58,37,23.2,28.2,5,0.6,103,"2024-11-21 11:00",,0.6,28.2,51,2,120.357422,22.628126,50
仁武,高雄市,72,細懸浮微粒,普通,2,0.71,27.6,7.2,52,32,26.6,47.5,20.9,1.8,325,"2024-11-21 11:00",,0.5,24,43,1,120.332631,22.689056,49
橋頭,高雄市,71,細懸浮微粒,普通,2.1,0.37,31.2,10.2,54,33,16.9,22.1,5.2,2,8,"2024-11-21 11:00",,0.3,23.6,43,1,120.305689,22.757506,48
美濃,高雄市,43,,良好,1.8,0.3,30.7,11.5,31,16,3.7,5.4,1.6,1.4,262,"2024-11-21 11:00",,0.3,13.2,32,1,120.530542,22.883583,47
臺南,臺南市,44,,良好,1.1,0.3,29.5,17.1,33,18,12.5,16.7,4.1,3.4,353,"2024-11-21 11:00",,0.2,13.5,27,1,120.21947897,22.98928311,46
安南,臺南市,42,,良好,1.3,0.28,30.6,18.4,31,16,9.7,13.3,3.6,3.3,329,"2024-11-21 11:00",,0.2,13,28,1,120.2175,23.048197,45
善化,臺南市,51,細懸浮微粒,普通,1.4,0.23,28.2,17.5,32,19,7.9,11.1,3.1,3.7,2,"2024-11-21 11:00",,0.2,15.6,26,1,120.29740529,23.11337642,44
新營,臺南市,41,,良好,1.6,0.27,31.7,19.9,36,17,7.7,11.9,4.1,2.7,24,"2024-11-21 11:00",,0.2,12.5,26,1,120.31725,23.305633,43
嘉義,嘉義市,43,,良好,2.3,0.27,26.3,17.9,27,15,9.5,13.3,3.7,2.8,48,"2024-11-21 11:00",,0.2,13.3,22,3,120.44125148,23.46477865,42
臺西,雲林縣,34,,良好,0.7,0.17,41.4,37.8,33,6,3.6,4.2,0.6,10.5,25,"2024-11-21 11:00",,0.1,4.7,22,0,120.19933333,23.702175,41
朴子,嘉義縣,26,,良好,1.8,0.22,35.9,28.8,43,5,5.7,8.3,2.5,2.4,348,"2024-11-21 11:00",,0.2,4.7,24,1,120.2478,23.46538,40
新港,嘉義縣,27,,良好,1.7,0.21,38.3,29.9,25,8,6.6,8.4,1.8,3.7,20,"2024-11-21 11:00",,0.2,8.3,18,1,120.345531,23.554839,39
崙背,雲林縣,37,,良好,0.5,0.23,34.9,31.0,66,12,5.4,7.3,1.8,2.6,355,"2024-11-21 11:00",,0.2,11.5,35,1,120.348742,23.757547,38
斗六,雲林縣,33,,良好,2.3,0.26,33.9,23.5,24,15,7.3,9.9,2.6,1.8,346,"2024-11-21 11:00",,0.2,10.3,18,1,120.544994,23.711853,37
南投,南投縣,25,,良好,2.1,0.35,30,22.6,17,8,13.2,18.1,4.8,1.9,338,"2024-11-21 11:00",,0.2,7.8,14,1,120.685306,23.913,36
二林,彰化縣,27,,良好,1.3,0.2,24.9,29.5,18,5,6.3,8.6,2.3,5.3,20,"2024-11-21 11:00",,0.1,5.4,18,1,120.409653,23.925175,35
線西,彰化縣,31,,良好,1,0.18,34.5,34.3,20,5,8.3,11.3,3,7.9,30,"2024-11-21 11:00",,0.1,4.7,14,1,120.469061,24.131672,34
彰化,彰化縣,25,,良好,0.6,0.25,25.6,27.3,13,5,13.9,21.4,7.5,2.9,12,"2024-11-21 11:00",,0.2,5.8,11,0,120.541519,24.066,33
西屯,臺中市,28,,良好,1.2,0.19,31,30.9,18,2,6.9,9.5,2.6,4.6,8,"2024-11-21 11:00",,0.1,5.4,12,1,120.616917,24.162197,32
忠明,臺中市,25,,良好,1.5,0.26,26.5,27.3,16,4,11.2,17,5.8,1.9,333,"2024-11-21 11:00",,0.2,4.4,10,1,120.641092,24.151958,31
大里,臺中市,22,,良好,1,0.28,,24.6,,,10.9,15.1,4.2,3,345,"2024-11-21 11:00",,0.2,4.1,9,1,120.67844444,24.09961111,30
沙鹿,臺中市,31,,良好,1,0.19,31.3,33.6,15,5,7.2,9.2,2,5.6,92,"2024-11-21 11:00",,0.1,6.5,11,1,120.568794,24.225628,29
豐原,臺中市,25,,良好,,,28.9,27.2,3,1,,,,2.3,358,"2024-11-21 11:00",,0.1,1.3,4,1,120.74252414,24.25699731,28
三義,苗栗縣,28,,良好,0.8,0.2,27.2,30.6,4,6,8.3,10,1.7,6,16,"2024-11-21 11:00",,0.1,4.3,4,1,120.75956754,24.38248443,27
苗栗,苗栗縣,31,,良好,1.1,0.19,28.9,33.3,4,4,8.9,11,2.1,3.7,0,"2024-11-21 11:00",,0.1,4.6,4,1,120.82011468,24.56499183,26
頭份,苗栗縣,32,,良好,1,0.19,32.3,35.0,6,1,8.8,10.9,2.1,3.4,36,"2024-11-21 11:00",,0.1,3.2,7,1,120.89869286,24.69690679,25
新竹,新竹市,33,,良好,1.1,0.21,30.5,36,6,1,11.5,13,1.5,3.3,37,"2024-11-21 11:00",,0.1,2.1,7,1,120.97236752,24.8056356,24
竹東,新竹縣,35,,良好,0.5,0.15,36,38.3,4,2,4.7,6,1.2,6.3,37,"2024-11-21 11:00",,0.1,1,3,0,121.08895493,24.74091408,23
湖口,新竹縣,34,,良好,0.7,0.18,35.4,37.4,9,3,6.7,8.4,1.6,6.3,47,"2024-11-21 11:00",,0.1,3.4,7,1,121.03886894,24.90009696,22
龍潭,桃園市,31,,良好,0.7,0.22,29.7,34.6,7,3,10.9,13.2,2.3,4.4,56,"2024-11-21 11:00",,0.1,3.1,5,0,121.21645772,24.86400048,21
